Location; Date; Temperature;
Alicante,9,2015-05-14
Toledo,33,2012-07-25
Leon,41,2019-05-01
Albacete,8,2016-01-06
Vizcaya,22,2020-11-16
Huesca,4,2013-05-04
Toledo,-2,2016-10-15
Teruel,22,2020-08-23
Huesca,-16,2015-10-08
Granada,-1,2019-12-24
Tarragona,-2,2011-03-04
Almeria,43,2015-10-19
Cantabria,-1,2015-05-02
Madrid,28,2015-04-17
Barcelona,-20,2016-06-09
Guipuzcoa,5,2011-01-20
Zaragoza,48,2015-10-11
Palencia,9,2010-01-07
Sevilla,19,2011-08-08
Las Palmas,1,2019-05-29
Madrid,21,2019-11-12
Ciudad Real,-12,2011-02-23
Pontevedra,40,2010-07-20
Madrid,47,2016-09-22
Alava,-13,2014-07-20
Navarra,-11,2012-04-05
Leon,14,2021-11-11
Cordoba,23,2015-11-13
Murcia,39,2021-10-08
Huesca,9,2016-06-17
Cordoba,-6,2011-06-30
Huelva,25,2018-06-30
Cadiz,15,2010-12-18
Guipuzcoa,-19,2013-06-26
La Coruna,5,2016-12-11
Soria,45,2019-04-06
Avila,-10,2012-03-01
Guipuzcoa,0,2019-11-21
La Coruna,26,2014-04-05
Huelva,23,2016-03-14
Lerida,5,2020-11-09
Huesca,0,2021-11-24
Alava,46,2013-09-22
La Rioja,37,2012-07-19
Lugo,3,2020-07-16
Sevilla,8,2021-01-30
Cordoba,4,2012-01-07
La Rioja,-3,2016-12-17
Lerida,12,2014-01-01
Vizcaya,13,2021-08-29
Badajoz,1,2020-10-07
Zamora,12,2011-11-17
Guadalajara,15,2014-05-09
Santa Cruz de Tenerife,24,2010-08-27
Toledo,2,2020-05-05
Vizcaya,48,2011-01-11
Asturias,-9,2019-10-17
Salamanca,-1,2010-07-25
Almeria,24,2015-11-15
Malaga,44,2015-12-01
Sevilla,42,2021-10-12
Navarra,-3,2020-03-24
Cordoba,46,2010-08-01
Valladolid,21,2017-06-24
Badajoz,-6,2017-02-25
Lerida,36,2011-08-31
Badajoz,10,2011-08-12
Albacete,20,2013-05-18
Huelva,-4,2010-02-01
Lugo,8,2019-12-15
Tarragona,31,2017-11-09
Toledo,-13,2017-11-09
Cadiz,44,2013-05-06
Navarra,3,2013-10-09
Madrid,49,2012-10-31
Lerida,32,2020-10-01
La Rioja,46,2019-10-11
Zamora,47,2010-09-20
Navarra,12,2016-06-05
Asturias,12,2013-01-23
Guadalajara,4,2019-08-25
Cuenca,25,2013-11-13
Valencia,31,2011-08-18
Guadalajara,32,2012-06-02
Caceres,46,2014-10-23
Cantabria,13,2017-05-25
La Rioja,-6,2014-12-21
Santa Cruz de Tenerife,35,2011-02-10
La Rioja,26,2018-06-01
Tarragona,44,2015-09-23
Orense,-1,2014-03-28
Asturias,-19,2016-07-08
Valencia,18,2014-09-03
Leon,22,2011-08-27
Palencia,-10,2021-06-25
Las Palmas,34,2013-06-13
Badajoz,17,2021-02-17
Cadiz,-4,2012-03-05
Cuenca,4,2010-06-18
Murcia,-13,2017-11-22
Ciudad Real,23,2010-10-26
Palencia,-10,2016-02-13
Barcelona,-10,2019-03-21
Soria,11,2020-07-14
Cantabria,45,2015-12-14
Teruel,13,2010-11-03
Murcia,18,2010-02-26
Sevilla,18,2018-09-23
Salamanca,26,2019-02-18
Alava,2,2014-02-22
Cordoba,-9,2011-09-03
Navarra,23,2011-06-19
Tarragona,21,2020-07-31
Salamanca,23,2011-11-23
Murcia,-7,2018-04-19
Palencia,45,2016-05-10
Salamanca,7,2014-01-08
Zamora,21,2019-09-29
Sevilla,-10,2012-08-08
Malaga,-22,2015-06-02
Zamora,13,2019-09-07
Barcelona,33,2021-06-13
Almeria,23,2011-06-22
Cordoba,-4,2016-01-26
Valladolid,21,2015-09-06
Leon,30,2010-12-28
Albacete,10,2021-02-25
Gerona,55,2016-05-13
Malaga,41,2010-08-29
Granada,7,2015-02-08
Leon,-15,2012-04-09
Lugo,3,2019-12-09
Cordoba,-6,2018-12-14
Leon,-14,2017-05-01
Teruel,40,2016-11-16
Islas Baleares,36,2020-07-19
Guadalajara,-20,2012-02-13
Valencia,18,2011-05-14
Granada,49,2021-09-07
Castellon,33,2013-08-27
Salamanca,17,2021-02-23
Badajoz,45,2011-06-13
Cuenca,39,2010-05-01
Granada,-3,2017-09-29
Guipuzcoa,15,2012-04-19
Lugo,17,2010-03-27
Barcelona,29,2020-10-19
Valladolid,39,2014-04-28
Palencia,26,2015-12-30
Vizcaya,24,2014-07-07
Guipuzcoa,-7,2016-07-16
Leon,5,2019-07-04
Salamanca,13,2019-12-01
Tarragona,5,2012-01-01
Soria,32,2019-04-19
Cordoba,16,2019-09-29
Caceres,-11,2018-03-21
Valladolid,35,2017-01-08
Islas Baleares,-11,2010-05-13
Lerida,2,2016-10-14
Vizcaya,6,2011-07-17
Leon,-15,2016-07-07
Teruel,27,2016-12-27
Madrid,35,2015-12-13
Sevilla,28,2021-02-02
Pontevedra,-4,2018-10-08
La Rioja,25,2021-05-27
Santa Cruz de Tenerife,3,2018-05-19
Cuenca,-7,2012-12-06
Salamanca,29,2017-05-13
